date,forward_equity,return_pct,open,entered,exited
2026-09-15,500.0,0.0,0,0,0
2026-09-15,500.0,0.0,0,0,0
2026-09-16,500.0,0.0,0,0,0
2026-09-17,500.0,0.0,0,0,0
2026-09-18,500.0,0.0,0,0,0
2026-09-19,500.0,0.0,0,0,0
2026-09-20,500.0,0.0,0,0,0
2026-09-21,500.0,0.0,0,0,0
2026-09-22,500.0,0.0,0,0,0
2026-09-23,500.0,0.0,2,2,0
